Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
commons-lang,org.apache.commons.lang3,CharSet,8,5,8,5,159,18,0,0,0.25,3,2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharSet.java,27
commons-lang,org.apache.commons.lang3,SerializationException,1,0,4,4,38,4,0,0,1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/SerializationException.java,19
commons-lang,org.apache.commons.lang3,Range,6,0,27,26,373,47,1,0,0.0,4,1,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Range.java,23
commons-lang,org.apache.commons.lang3,Range.ComparableComparator,0,0,0,0,10,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Range.java,37
commons-lang,org.apache.commons.lang3,BitField,2,0,18,18,161,18,0,0,0.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/BitField.java,19
commons-lang,org.apache.commons.lang3,LocaleUtils,7,0,21,11,291,43,0,0,0.3333333333333333,10,2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/LocaleUtils.java,33
commons-lang,org.apache.commons.lang3,LocaleUtils.SyncAvoid,2,0,0,0,17,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/LocaleUtils.java,46
commons-lang,org.apache.commons.lang3,Streams,4,0,4,4,198,4,0,0,0.75,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Streams.java,38
commons-lang,org.apache.commons.lang3,Streams.ArrayCollector,2,0,0,0,35,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Streams.java,74
commons-lang,org.apache.commons.lang3,Streams.FailableStream,2,0,0,0,122,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Streams.java,123
commons-lang,org.apache.commons.lang3,SystemProperties,193,193,205,202,2807,206,0,0,0.014634146341463415,8,3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/SystemProperties.java,29
commons-lang,org.apache.commons.lang3,ObjectUtils,3,1,52,52,703,82,0,0,0.7307692307692307,11,5,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ObjectUtils.java,45
commons-lang,org.apache.commons.lang3,ObjectUtils.Null,1,0,0,0,22,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ObjectUtils.java,65
commons-lang,org.apache.commons.lang3,ArrayFill,0,0,11,10,146,22,0,0,-1.0,2,1,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ArrayFill.java,25
commons-lang,org.apache.commons.lang3,SystemUtils,130,128,23,16,952,29,0,0,0.7391304347826086,9,4,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/SystemUtils.java,23
commons-lang,org.apache.commons.lang3,LongRange,1,0,5,4,53,5,0,2,1.0,2,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/LongRange.java,22
commons-lang,org.apache.commons.lang3,RandomStringUtils,13,0,45,42,585,71,0,0,0.08888888888888889,2,3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/RandomStringUtils.java,25
commons-lang,org.apache.commons.lang3,AnnotationUtils,2,0,12,5,268,51,0,0,0.4166666666666667,1,5,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/AnnotationUtils.java,27
commons-lang,org.apache.commons.lang3,EnumUtils,4,0,23,20,322,30,0,0,0.43478260869565216,1,1,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/EnumUtils.java,33
commons-lang,org.apache.commons.lang3,Validate,20,0,54,52,797,92,0,0,0.9259259259259259,2,2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Validate.java,26
commons-lang,org.apache.commons.lang3,StringUtils,10,5,244,235,4411,713,0,0,0.4057377049180328,59,9,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/StringUtils.java,38
commons-lang,org.apache.commons.lang3,NumberRange,1,0,1,1,19,1,3,1,0.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/NumberRange.java,22
commons-lang,org.apache.commons.lang3,CharRange,9,0,14,13,273,23,0,0,0.2857142857142857,4,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharRange.java,24
commons-lang,org.apache.commons.lang3,CharRange.CharacterIterator,3,0,0,0,89,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharRange.java,38
commons-lang,org.apache.commons.lang3,DoubleRange,1,0,4,3,45,4,0,2,1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/DoubleRange.java,20
commons-lang,org.apache.commons.lang3,NotImplementedException,2,0,8,8,81,8,0,0,0.5,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/NotImplementedException.java,19
commons-lang,org.apache.commons.lang3,CachedRandomBits,7,0,2,1,67,6,0,0,0.0,2,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CachedRandomBits.java,22
commons-lang,org.apache.commons.lang3,ArchUtils,1,0,15,3,91,16,0,0,0.2,1,2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/ArchUtils.java,25
commons-lang,org.apache.commons.lang3,CharEncoding,6,6,2,2,55,3,0,0,1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/CharEncoding.java,24
commons-lang,org.apache.commons.lang3,Strings,6,2,28,24,563,61,2,0,0.35714285714285715,10,4,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Strings.java,25
commons-lang,org.apache.commons.lang3,Strings.Builder,2,0,0,0,42,0,0,2,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Strings.java,34
commons-lang,org.apache.commons.lang3,Strings.CiStrings,0,0,0,0,91,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Strings.java,88
commons-lang,org.apache.commons.lang3,Strings.CsStrings,0,0,0,0,53,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/main/java/org/apache/commons/lang3/Strings.java,195
commons-lang,org.apache.commons.lang3,IntegerRangeTest,4,0,31,1,245,31,0,1,0.0967741935483871,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/IntegerRangeTest.java,35
commons-lang,org.apache.commons.lang3,CharSetTest,0,0,15,0,358,15,0,1,-1.0,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/CharSetTest.java,31
commons-lang,org.apache.commons.lang3,ClassUtilsOssFuzzTest,0,0,2,2,17,2,0,0,-1.0,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/ClassUtilsOssFuzzTest.java,24
commons-lang,org.apache.commons.lang3,Enum64,0,0,0,0,1,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,41
commons-lang,org.apache.commons.lang3,EnumUtilsTest,0,0,49,0,420,49,0,1,-1.0,0,6,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,47
commons-lang,org.apache.commons.lang3,Month,1,0,2,1,8,2,0,0,0.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,626
commons-lang,org.apache.commons.lang3,TooMany,0,0,0,0,1,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,640
commons-lang,org.apache.commons.lang3,Traffic,0,0,0,0,1,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,646
commons-lang,org.apache.commons.lang3,Traffic2,2,0,3,2,13,3,0,0,0.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,650
commons-lang,org.apache.commons.lang3,LangAssertions,0,0,6,6,62,6,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/LangAssertions.java,25
commons-lang,org.apache.commons.lang3,ArraySorterTest,0,0,9,0,68,9,0,1,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/ArraySorterTest.java,27
commons-lang,org.apache.commons.lang3,StringUtilsJoinBenchmark,22,2,1,0,388,1,0,0,0.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/StringUtilsJoinBenchmark.java,35
commons-lang,org.apache.commons.lang3,StringUtilsJoinBenchmark.BooleanArrayBenchmark,2,0,0,0,16,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/StringUtilsJoinBenchmark.java,120
commons-lang,org.apache.commons.lang3,StringUtilsJoinBenchmark.ByteArrayBenchmark,2,0,0,0,17,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/StringUtilsJoinBenchmark.java,150
commons-lang,org.apache.commons.lang3,StringUtilsJoinBenchmark.CharArrayBenchmark,2,0,0,0,17,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/StringUtilsJoinBenchmark.java,181
commons-lang,org.apache.commons.lang3,StringUtilsJoinBenchmark.DoubleArrayBenchmark,2,0,0,0,17,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/StringUtilsJoinBenchmark.java,212
commons-lang,org.apache.commons.lang3,StringUtilsJoinBenchmark.FloatArrayBenchmark,2,0,0,0,17,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/StringUtilsJoinBenchmark.java,244
commons-lang,org.apache.commons.lang3,StringUtilsJoinBenchmark.IntArrayBenchmark,2,0,0,0,17,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/StringUtilsJoinBenchmark.java,276
commons-lang,org.apache.commons.lang3,StringUtilsJoinBenchmark.LongArrayBenchmark,2,0,0,0,17,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/StringUtilsJoinBenchmark.java,308
commons-lang,org.apache.commons.lang3,StringUtilsJoinBenchmark.ShortArrayBenchmark,2,0,0,0,17,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/StringUtilsJoinBenchmark.java,340
commons-lang,org.apache.commons.lang3,StringUtilsJoinBenchmark.StringUtils_3_20_0,1,1,0,0,107,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/StringUtilsJoinBenchmark.java,372
commons-lang,org.apache.commons.lang3,StringUtilsJoinBenchmark.StringUtils_3_21_0,1,1,0,0,134,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/StringUtilsJoinBenchmark.java,489
commons-lang,org.apache.commons.lang3,Supplementary,4,0,0,0,21,0,0,0,-1.0,1,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/Supplementary.java,20
commons-lang,org.apache.commons.lang3,CharRangeTest,0,0,18,0,317,19,0,1,-1.0,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/CharRangeTest.java,35
commons-lang,org.apache.commons.lang3,StreamsTest,0,0,10,2,114,15,0,1,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/StreamsTest.java,41
commons-lang,org.apache.commons.lang3,ValidateTest,12,0,0,0,955,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/ValidateTest.java,42
commons-lang,org.apache.commons.lang3,ValidateTest.ExclusiveBetween,6,0,0,0,140,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/commons-lang/src/test/java/org/apache/commons/lang3/ValidateTest.java,47
