Project,Package,Smell,Description
gson,com.google.gson.internal.sql,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.gson.functional
gson,com.google.gson.internal.sql,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SqlTypesSupport; SqlDateTypeAdapter; SqlTimestampTypeAdapter; SqlTimeTypeAdapter; SqlTypesSupportTest]; [SqlTypesGsonTest]. LCC (Lack of Component Cohesion) = 0.33
gson,com.google.gson.internal.bind,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 43
gson,com.google.gson.internal.bind,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EnumTypeAdapter; TypeAdapters; TypeAdapters.FactorySupplier; JsonElementTypeAdapter; JavaTimeTypeAdapters; MapTypeAdapterFactory; MapTypeAdapterFactory.Adapter; ArrayTypeAdapter; TypeAdapterRuntimeTypeWrapper; CollectionTypeAdapterFactory; CollectionTypeAdapterFactory.Adapter; ReflectiveTypeAdapterFactory; ReflectiveTypeAdapterFactory.FieldsData; ReflectiveTypeAdapterFactory.BoundField; TreeTypeAdapter; TreeTypeAdapter.GsonContextImpl; SerializationDelegatingTypeAdapter; JsonAdapterAnnotationTypeAdapterFactory]; [TreeTypeAdapter.SingleTypeFactory]; [ReflectiveTypeAdapterFactory.Adapter]; [ReflectiveTypeAdapterFactory.FieldReflectionAdapter]; [ReflectiveTypeAdapterFactory.RecordAdapter]; [NumberTypeAdapter]; [DefaultDateTypeAdapter; DefaultDateTypeAdapter.DateType; DefaultDateTypeAdapterTest]; [JsonTreeReader; JsonTreeReaderTest; JsonElementReaderTest]; [JsonAdapterAnnotationTypeAdapterFactory.DummyTypeAdapterFactory]; [JsonTreeWriter; JsonTreeWriterTest]; [TypeAdapters.IntegerFieldsTypeAdapter]; [ObjectTypeAdapter]; [JsonTreeReaderTest.CustomSubclass]; [Java17ReflectiveTypeAdapterFactoryTest; Java17ReflectiveTypeAdapterFactoryTest.PrincipalTypeAdapter]; [Java17ReflectiveTypeAdapterFactoryTest.DummyClass]; [RecursiveTypesResolveTest; RecursiveTypesResolveTest.Foo1; RecursiveTypesResolveTest.Foo2; RecursiveTypesResolveTest.TestType; RecursiveTypesResolveTest.TestType2]. LCC (Lack of Component Cohesion) = 0.37
gson,com.google.gson.internal.bind,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.google.gson.reflect; com.google.gson.internal.
gson,com.google.gson.internal.bind,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.google.gson.stream; com.google.gson.
gson,com.google.gson.internal.bind,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.google.gson.reflect; com.google.gson; com.google.gson.internal; com.google.gson.stream.
gson,com.google.gson.internal.bind,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.google.gson; com.google.gson.reflect.
gson,com.google.gson.internal.bind,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.google.gson.stream; com.google.gson.internal.
gson,com.google.gson.internal.bind,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.google.gson.stream; com.google.gson; com.google.gson.reflect.
gson,com.google.gson.stream,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.gson; com.google.gson.internal
gson,com.google.gson.stream,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JsonToken; JsonReader; JsonScope; MalformedJsonException; JsonReaderTest; JsonReaderPathTest; JsonReaderPathTest.Factory]; [JsonWriter; JsonWriterTest]. LCC (Lack of Component Cohesion) = 0.22
gson,com.google.gson.reflect,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.gson.internal
