Project,Package,Class,Method,Smell,Description,File
commons-io,org.apache.commons.io,IOCaseTest,test_checkIndexOf_case,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_checkIndexOf_functionality,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 29,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_checkRegionMatches_case,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_checkRegionMatches_functionality,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 24,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_checkStartsWith_case,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_checkStartsWith_functionality,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_forName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_getName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_getScratchByteArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_getScratchCharArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_isCaseSensitive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_isCaseSensitive_static,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_serialization,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,IOCaseTest,test_toString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOCaseTest.java
commons-io,org.apache.commons.io,FilenameUtilsWildcardTest,test_IO_246,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FilenameUtilsWildcardTest.java
commons-io,org.apache.commons.io,FilenameUtilsWildcardTest,testLocaleIndependence,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FilenameUtilsWildcardTest.java
commons-io,org.apache.commons.io,FilenameUtilsWildcardTest,testMatch,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 22,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FilenameUtilsWildcardTest.java
commons-io,org.apache.commons.io,FilenameUtilsWildcardTest,testMatch2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FilenameUtilsWildcardTest.java
commons-io,org.apache.commons.io,FilenameUtilsWildcardTest,testMatchCaseSpecified,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 30,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FilenameUtilsWildcardTest.java
commons-io,org.apache.commons.io,FilenameUtilsWildcardTest,testMatchOnSystem,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 20,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FilenameUtilsWildcardTest.java
commons-io,org.apache.commons.io,FilenameUtilsWildcardTest,testSplitOnTokens,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FilenameUtilsWildcardTest.java
commons-io,org.apache.commons.io,FileUtilsFileNewerTest,testIsFileNewer,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileUtilsFileNewerTest.java
