Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
commons-io,org.apache.commons.io,IOUtils,toBufferedReader,3,1,1,2892,0,,
commons-io,org.apache.commons.io,IOUtils,toBufferedReader,3,1,2,2906,0,,
commons-io,org.apache.commons.io,IOUtils,toByteArray,7,2,1,2921,0,org.apache.commons.io.output.UnsynchronizedByteArrayOutputStream,org.apache.commons.io.output.UnsynchronizedByteArrayOutputStream; org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,toByteArray,3,1,2,2943,0,,
commons-io,org.apache.commons.io,IOUtils,toByteArray,15,4,3,2963,0,org.apache.commons.io.output.UnsynchronizedByteArrayOutputStream,org.apache.commons.io.output.UnsynchronizedByteArrayOutputStream; org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,toByteArray,6,2,2,3002,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,toByteArray,18,5,2,3026,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,toByteArray,3,1,1,3055,0,,
commons-io,org.apache.commons.io,IOUtils,toByteArray,6,1,2,3074,0,org.apache.commons.io.output.ByteArrayOutputStream,org.apache.commons.io.output.ByteArrayOutputStream
commons-io,org.apache.commons.io,IOUtils,toByteArray,3,1,2,3096,0,,
commons-io,org.apache.commons.io,IOUtils,toByteArray,3,1,1,3120,0,,
commons-io,org.apache.commons.io,IOUtils,toByteArray,3,1,1,3138,0,,
commons-io,org.apache.commons.io,IOUtils,toByteArray,5,1,1,3151,0,,
commons-io,org.apache.commons.io,IOUtils,toByteArray,5,1,1,3166,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,toCharArray,3,1,1,3181,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,toCharArray,5,1,2,3201,0,,
commons-io,org.apache.commons.io,IOUtils,toCharArray,3,1,2,3223,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,toCharArray,5,1,1,3247,0,,
commons-io,org.apache.commons.io,IOUtils,toInputStream,3,1,1,3266,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,toInputStream,3,1,2,3280,0,,
commons-io,org.apache.commons.io,IOUtils,toInputStream,3,1,2,3293,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,toInputStream,3,1,1,3311,0,,
commons-io,org.apache.commons.io,IOUtils,toInputStream,3,1,2,3325,0,org.apache.commons.io.Charsets,org.apache.commons.io.Charsets
commons-io,org.apache.commons.io,IOUtils,toInputStream,3,1,2,3338,0,,
commons-io,org.apache.commons.io,IOUtils,toString,3,1,1,3356,0,,
commons-io,org.apache.commons.io,IOUtils,toString,3,1,2,3371,0,,
commons-io,org.apache.commons.io,IOUtils,toString,3,1,1,3388,0,,
commons-io,org.apache.commons.io,IOUtils,toString,6,1,2,3407,0,org.apache.commons.io.output.StringBuilderWriter,org.apache.commons.io.output.StringBuilderWriter
commons-io,org.apache.commons.io,IOUtils,toString,3,1,2,3429,0,,
commons-io,org.apache.commons.io,IOUtils,toString,6,1,2,3453,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,toString,8,2,3,3474,0,org.apache.commons.io.function.IOSupplier,org.apache.commons.io.function.IOSupplier
commons-io,org.apache.commons.io,IOUtils,toString,6,1,1,3499,0,org.apache.commons.io.output.StringBuilderWriter,org.apache.commons.io.output.StringBuilderWriter
commons-io,org.apache.commons.io,IOUtils,toString,3,1,1,3518,0,,
commons-io,org.apache.commons.io,IOUtils,toString,3,1,2,3532,0,org.apache.commons.io.Charsets,org.apache.commons.io.Charsets
commons-io,org.apache.commons.io,IOUtils,toString,3,1,2,3545,0,,
commons-io,org.apache.commons.io,IOUtils,toString,3,1,1,3559,0,,
commons-io,org.apache.commons.io,IOUtils,toString,3,1,2,3573,0,,
commons-io,org.apache.commons.io,IOUtils,toString,3,1,2,3586,0,,
commons-io,org.apache.commons.io,IOUtils,write,5,2,2,3600,0,,
commons-io,org.apache.commons.io,IOUtils,write,3,1,2,3616,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,write,5,2,3,3636,0,org.apache.commons.io.Charsets,org.apache.commons.io.Charsets
commons-io,org.apache.commons.io,IOUtils,write,3,1,3,3657,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,write,3,1,2,3678,0,,
commons-io,org.apache.commons.io,IOUtils,write,5,2,3,3697,0,,
commons-io,org.apache.commons.io,IOUtils,write,3,1,3,3716,0,,
commons-io,org.apache.commons.io,IOUtils,write,5,2,2,3738,0,,
commons-io,org.apache.commons.io,IOUtils,write,3,1,2,3753,0,,
commons-io,org.apache.commons.io,IOUtils,write,5,2,3,3773,0,,
commons-io,org.apache.commons.io,IOUtils,write,3,1,3,3793,0,,
commons-io,org.apache.commons.io,IOUtils,write,5,2,2,3815,0,,
commons-io,org.apache.commons.io,IOUtils,write,3,1,2,3830,0,,
commons-io,org.apache.commons.io,IOUtils,write,5,2,3,3850,0,org.apache.commons.io.Charsets,org.apache.commons.io.Charsets
commons-io,org.apache.commons.io,IOUtils,write,3,1,3,3874,0,,
commons-io,org.apache.commons.io,IOUtils,write,5,2,2,3898,0,,
commons-io,org.apache.commons.io,IOUtils,write,3,1,2,3913,0,,
commons-io,org.apache.commons.io,IOUtils,write,5,2,3,3934,0,,
commons-io,org.apache.commons.io,IOUtils,write,5,2,2,3962,0,,
commons-io,org.apache.commons.io,IOUtils,writeChunked,12,3,2,3980,0,,
commons-io,org.apache.commons.io,IOUtils,writeChunked,12,3,2,4006,0,,
commons-io,org.apache.commons.io,IOUtils,writeLines,3,1,3,4029,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,writeLines,18,6,4,4046,0,,
commons-io,org.apache.commons.io,IOUtils,writeLines,3,1,4,4081,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,IOUtils,writeLines,14,5,3,4101,0,,
commons-io,org.apache.commons.io,IOUtils,writer,10,3,1,4126,0,,
commons-io,org.apache.commons.io,IOUtils,IOUtils,2,1,0,4146,0,,
commons-io,org.apache.commons.io,IOIndexedException,toMessage,6,1,2,30,0,,
commons-io,org.apache.commons.io,IOIndexedException,IOIndexedException,4,1,2,50,0,org.apache.commons.io.IOIndexedException,org.apache.commons.io.IOIndexedException
commons-io,org.apache.commons.io,IOIndexedException,getIndex,3,1,0,61,0,,
commons-io,org.apache.commons.io,ThreadUtils,getNanosOfMilli,3,1,1,29,0,,
commons-io,org.apache.commons.io,ThreadUtils,sleep,23,3,1,33,0,org.apache.commons.io.ThreadUtils,org.apache.commons.io.ThreadUtils
commons-io,org.apache.commons.io,ThreadUtils,ThreadUtils,2,1,0,68,0,,
commons-io,org.apache.commons.io,FileExistsException,FileExistsException,2,1,0,34,0,,
commons-io,org.apache.commons.io,FileExistsException,FileExistsException,3,1,1,40,0,,
commons-io,org.apache.commons.io,FileExistsException,FileExistsException,3,1,1,49,0,,
