Project,Package,Class,Method,Smell,Description,File
jsoup,org.jsoup.internal,StringUtilTest,normaliseWhiteSpace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,normaliseWhiteSpaceHandlesHighSurrogates,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,normaliseWhiteSpaceHandlesHighSurrogates,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.jsoup.internal.StringUtil.normaliseWhitespace; org.jsoup.nodes.Element.text; org.jsoup.Jsoup.parse,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,resolvesRelativeUrls,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 32,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isAscii,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isAsciiLetter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isDigit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,StringUtilTest,isHexDigit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 28,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java
jsoup,org.jsoup.internal,ReaderTest,readerOfStringAndFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/ReaderTest.java
jsoup,org.jsoup.internal,SoftPoolTest,testSoftLocalPool,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/SoftPoolTest.java
jsoup,org.jsoup.internal,SoftPoolTest,testSoftReferenceBehavior,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/SoftPoolTest.java
jsoup,org.jsoup.internal,SoftPoolTest,testBorrowFromEmptyPool,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/SoftPoolTest.java
jsoup,org.jsoup.internal,QuietAppendableTest,wrap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/QuietAppendableTest.java
jsoup,org.jsoup.internal,QuietAppendableTest,supplemental,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/QuietAppendableTest.java
