Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
jsoup,org.jsoup.safety,Cleaner.CleaningVisitor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: numDiscarded; root; destination
jsoup,org.jsoup.safety,Cleaner.CleaningVisitor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.safety,Cleaner.ElementMeta,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: el; numAttribsDiscarded
jsoup,org.jsoup.safety,Cleaner.ElementMeta,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.safety,CleanerTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 36 public methods
jsoup,org.jsoup.nodes,Attribute,Feature Envy,The tool detected a instance of this smell because setKey is more interested in members of the type: Attributes
jsoup,org.jsoup.nodes,Attribute,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: HtmlTreeBuilderState; Token; Attributes; Attribute; Entities; Parser; TreeBuilder; CharacterReader; TokeniserState; DocumentType; Document; Connection; Evaluator; Element; Tag; ParseSettings; Normalizer; TagSet; NodeUtils; Node; NodeVisitor; NodeTraversor; Elements; Selector; Collector; TokenQueue; QueryParser; StructuralEvaluator; LeafNode; CombiningEvaluator; NodeEvaluator; NodeFilter; Printer; TextNode; Range; W3CDom; NodeIterator; DataNode; Comment; XmlDeclaration; CDataNode; Jsoup; HttpConnection; DataUtil; StreamParser; Safelist; Cleaner; FormElement; Tokeniser; HtmlTreeBuilder; XmlTreeBuilder
jsoup,org.jsoup.nodes,Attribute,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 30 methods
jsoup,org.jsoup.nodes,Attributes,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 33 public methods
jsoup,org.jsoup.nodes,Attributes.Dataset,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: attributes; attrIter; attr
jsoup,org.jsoup.nodes,Attributes.Dataset,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.nodes,Attributes.EntrySet,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
jsoup,org.jsoup.nodes,Attributes.EntrySet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.nodes,Attributes.DatasetIterator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: attrIter; attr
jsoup,org.jsoup.nodes,Attributes.DatasetIterator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
