Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
jsoup,org.jsoup.internal,ControllableInputStream,12,0,17,14,169,34,0,0,0.17647058823529413,5,3,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/internal/ControllableInputStream.java,16
jsoup,org.jsoup.internal,SimpleBufferedInput,7,0,11,6,120,34,0,0,0.0,2,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/internal/SimpleBufferedInput.java,12
jsoup,org.jsoup.internal,StringUtil,10,0,26,25,322,50,0,0,0.5,29,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/internal/StringUtil.java,15
jsoup,org.jsoup.internal,StringUtil.StringJoiner,3,0,0,0,42,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/internal/StringUtil.java,67
jsoup,org.jsoup.internal,QuietAppendable,2,0,4,4,63,5,2,0,1.0,16,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/internal/QuietAppendable.java,7
jsoup,org.jsoup.internal,QuietAppendable.BaseAppendable,1,0,0,0,27,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/internal/QuietAppendable.java,19
jsoup,org.jsoup.internal,QuietAppendable.Action,0,0,0,0,3,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/internal/QuietAppendable.java,22
jsoup,org.jsoup.internal,QuietAppendable.StringBuilderAppendable,1,0,0,0,24,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/internal/QuietAppendable.java,56
jsoup,org.jsoup.internal,Normalizer,0,0,4,4,30,4,0,0,-1.0,8,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/internal/Normalizer.java,9
jsoup,org.jsoup.internal,StringUtilTest,0,0,15,9,183,16,0,0,-1.0,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/StringUtilTest.java,13
jsoup,org.jsoup.internal,ReaderTest,0,0,3,0,28,4,0,0,-1.0,0,4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/ReaderTest.java,18
jsoup,org.jsoup.internal,SoftPoolTest,3,0,4,4,83,13,0,0,0.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/SoftPoolTest.java,17
jsoup,org.jsoup.internal,QuietAppendableTest,0,0,7,3,51,7,0,0,-1.0,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/internal/QuietAppendableTest.java,13
jsoup,org.jsoup.safety,Safelist,7,0,22,20,399,54,1,0,0.18181818181818182,6,5,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/safety/Safelist.java,24
jsoup,org.jsoup.safety,Safelist.TagName,0,0,0,0,8,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/safety/Safelist.java,601
jsoup,org.jsoup.safety,Safelist.AttributeKey,0,0,0,0,8,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/safety/Safelist.java,611
jsoup,org.jsoup.safety,Safelist.AttributeValue,0,0,0,0,8,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/safety/Safelist.java,621
jsoup,org.jsoup.safety,Safelist.Protocol,0,0,0,0,8,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/safety/Safelist.java,631
jsoup,org.jsoup.safety,Safelist.TypedValue,1,0,0,0,19,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/safety/Safelist.java,641
jsoup,org.jsoup.safety,Cleaner,6,0,6,4,133,10,0,0,0.0,2,7,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/safety/Cleaner.java,19
jsoup,org.jsoup.safety,Cleaner.CleaningVisitor,3,0,0,0,45,0,0,1,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/safety/Cleaner.java,126
jsoup,org.jsoup.safety,Cleaner.ElementMeta,2,0,0,0,8,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/safety/Cleaner.java,210
jsoup,org.jsoup.safety,SafelistTest,4,0,5,4,50,6,0,0,0.4,0,5,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/safety/SafelistTest.java,12
jsoup,org.jsoup.safety,CleanerTest,0,0,46,36,355,47,0,0,-1.0,0,11,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/safety/CleanerTest.java,22
jsoup,org.jsoup.nodes,Attribute,6,0,30,19,272,53,0,0,0.13333333333333333,14,9,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Attribute.java,17
jsoup,org.jsoup.nodes,Attributes,14,0,48,33,522,99,0,0,0.08333333333333333,24,9,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Attributes.java,28
jsoup,org.jsoup.nodes,Attributes.Dataset,3,0,0,0,43,0,0,0,-1.0,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Attributes.java,618
