Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
byte-buddy,net.bytebuddy.dynamic.loading,ModuleLayerFromSingleClassLoaderDecorator,doPrivileged,3,1,1,149,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ModuleLayerFromSingleClassLoaderDecorator,isSkipped,3,1,1,161,0,net.bytebuddy.description.type.TypeDescription,net.bytebuddy.description.type.TypeDescription
byte-buddy,net.bytebuddy.dynamic.loading,ModuleLayerFromSingleClassLoaderDecorator,apply,4,1,1,168,0,net.bytebuddy.description.type.TypeDescription,net.bytebuddy.description.type.TypeDescription
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoader,doRegisterAsParallelCapable,9,1,0,72,0,,
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoader,MultipleParentClassLoader,3,1,1,91,0,,
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoader,MultipleParentClassLoader,3,1,2,101,0,,
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoader,MultipleParentClassLoader,4,1,3,113,0,,
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoader,loadClass,14,3,2,127,0,,
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoader,getResource,9,3,1,145,0,,
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoader,getResources,8,2,1,158,0,,
byte-buddy,net.bytebuddy.dynamic.loading,MultipleParentClassLoader,doDefineClasses,7,2,1,170,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassFilePostProcessorTest,testNoOpPostProcessor,4,1,0,29,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassFilePostProcessorTest,testClassFileTransformerPostProcessor,5,1,0,35,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassFilePostProcessorTest,testClassFileTransformerPostProcessorWithException,4,1,0,43,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderPackageLookupStrategy,testGetPackage,5,1,0,11,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,setUp,3,1,0,48,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testBootstrapClassLoader,3,1,0,53,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testInjection,4,1,0,58,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testInjectionOnLegacyClassloader,6,1,0,66,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testDirectInjection,8,1,0,77,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testUnsafeInjection,8,1,0,97,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testUnsafeOverride,8,1,0,117,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testDispatcherFaultyInitializationGetClass,3,1,0,136,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testDispatcherFaultyInitializationGetClassInexistent,3,1,0,142,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testDispatcherFaultyInitializationDefineClass,3,1,0,148,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testDispatcherFaultyInitializationGetPackage,3,1,0,156,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testDispatcherFaultyInitializationDefinePackage,3,1,0,161,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testDispatcherFaultyDispatcherDefineClass,3,1,0,174,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testDispatcherFaultyDispatcherGetPackage,3,1,0,182,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testDispatcherFaultyDispatcherDefinePackage,3,1,0,187,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testLegacyDispatcherGetLock,4,1,0,200,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testFaultyDispatcherGetLock,4,1,0,210,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testInjectionOrderNoPrematureAuxiliaryInjection,5,1,0,216,1,net.bytebuddy.matcher.ElementMatchers,net.bytebuddy.matcher.ElementMatchers; net.bytebuddy.implementation.MethodDelegation
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testAvailability,5,1,0,230,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,testMultipleClassLoaderUsingDispatch,32,4,0,238,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingReflectionTest,findClass,26,4,1,241,0,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionTrivialTest,testPackageNotDefined,12,1,0,15,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderChildFirstPrependingEnumerationTest,setUp,5,1,0,25,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderChildFirstPrependingEnumerationTest,testPrepending,14,1,0,32,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderChildFirstPrependingEnumerationTest,testNextElementThrowsException,11,1,0,49,0,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,setUp,3,1,0,52,0,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,testNoManifest,14,1,0,57,1,net.bytebuddy.dynamic.loading.PackageDefinitionStrategy,net.bytebuddy.dynamic.loading.PackageDefinitionStrategy
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,testManifestMainAttributesNotSealed,31,1,0,73,1,net.bytebuddy.dynamic.loading.PackageDefinitionStrategy,net.bytebuddy.dynamic.loading.PackageDefinitionStrategy
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,answer,5,1,1,85,0,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,testManifestPackageAttributesNotSealed,39,1,0,105,1,net.bytebuddy.dynamic.loading.PackageDefinitionStrategy,net.bytebuddy.dynamic.loading.PackageDefinitionStrategy
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,answer,5,1,1,125,0,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,testManifestMainAttributesSealed,20,1,0,145,1,net.bytebuddy.dynamic.loading.PackageDefinitionStrategy,net.bytebuddy.dynamic.loading.PackageDefinitionStrategy
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,answer,5,1,1,152,0,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,testManifestPackageAttributesSealed,21,1,0,167,1,net.bytebuddy.dynamic.loading.PackageDefinitionStrategy,net.bytebuddy.dynamic.loading.PackageDefinitionStrategy
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,answer,5,1,1,175,0,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,testSealBaseLocatorNonSealing,3,1,0,190,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,testSealBaseLocatorForFixedValue,3,1,0,195,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,testSealBaseLocatorForTypeResourceUrlUnknownUrl,6,1,0,201,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,testSealBaseLocatorForTypeResourceUrlFileUrl,6,1,0,211,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,testSealBaseLocatorForTypeResourceUrlJarUrl,6,1,0,221,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,testSealBaseLocatorForTypeResourceUrlJavaRuntimeImageUrl,6,1,0,231,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageTypeStrategyManifestReadingTest,testSealBaseLocatorForTypeResourceUrlJavaRuntimeImageUrlRawModule,6,1,0,242,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderSingletonEnumerationTest,testIteration,7,1,0,21,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderSingletonEnumerationTest,testSecondElementThrowsException,5,1,0,31,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoadingStrategyForJnaInjectionTest,setUp,7,1,0,35,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoadingStrategyForJnaInjectionTest,testInjection,7,1,0,44,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoadingStrategyForJnaInjectionTest,testInjectionWithProtectionDomain,7,1,0,54,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoadingStrategyForJnaInjectionTest,testInjectionDoesNotThrowExceptionOnExistingClass,5,1,0,65,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategyTypeTrivialTest,testIsDefined,3,1,0,13,1,,
