Project,Package,Smell,Description
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.test; org.apache.commons.io
commons-io,org.apache.commons.io.function,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 70
commons-io,org.apache.commons.io.function,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io; org.apache.commons.io.file
commons-io,org.apache.commons.io.input,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 182
commons-io,org.apache.commons.io.input,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.build
commons-io,org.apache.commons.io.file,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 59
commons-io,org.apache.commons.io.file,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.filefilter; org.apache.commons.io.output
commons-io,org.apache.commons.io.monitor,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.commons.io.function; org.apache.commons.io.build.
commons-io,org.apache.commons.io.output,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 93
commons-io,org.apache.commons.io.output,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.input; org.apache.commons.io.build
commons-io,org.apache.commons.io.channels,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 42
commons-io,org.apache.commons.io.channels,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.commons.io.function; org.apache.commons.io.build.
commons-io,org.apache.commons.io.build,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 38
commons-io,org.apache.commons.io.build,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io.build; org.apache.commons.io.input; org.apache.commons.io.build
commons-io,org.apache.commons.io.filefilter,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 47
commons-io,org.apache.commons.io.test,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.output; org.apache.commons.io; org.apache.commons.io.input
commons-io,org.apache.commons.io.test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ThrowOnCloseOutputStream]; [CustomIOException]; [TestUtils]; [ThrowOnCloseWriter]; [ThrowOnFlushAndCloseOutputStream]; [ThrowOnCloseReader]; [ThrowOnCloseInputStream]. LCC (Lack of Component Cohesion) = 1.0
