Project,Package,Smell,Description
zxing,com.google.zxing.client.result,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.zxing.oned
zxing,com.google.zxing.qrcode,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [QRCodeReader]; [QRCodeWriter; QRCodeWriterTestCase]; [QRCodeBlackBox3TestCase]; [QRCodeBlackBox2TestCase]; [QRCodeBlackBox6TestCase]; [QRCodeBlackBox4TestCase]; [QRCodeBlackBox1TestCase]; [QRCodeBlackBox5TestCase]. LCC (Lack of Component Cohesion) = 0.89
zxing,com.google.zxing.qrcode.encoder,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Encoder; MinimalEncoder; MinimalEncoder.VersionSize; MinimalEncoder.Edge; MinimalEncoder.ResultList; MaskUtil; MatrixUtil; ByteMatrix; QRCode; EncoderTestCase; MaskUtilTestCase; MatrixUtilTestCase; QRCodeTestCase]; [MinimalEncoder.ResultNode]; [BlockPair]; [BitVectorTestCase]. LCC (Lack of Component Cohesion) = 0.25
zxing,com.google.zxing.datamatrix,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DataMatrixReader]; [DataMatrixWriter; DataMatrixWriterTestCase]; [DataMatrixBlackBox1TestCase]; [DataMatrixBlackBox2TestCase]; [DataMatrixBlackBox3TestCase]. LCC (Lack of Component Cohesion) = 0.83
zxing,com.google.zxing.datamatrix.decoder,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DecodedBitStreamParser; DecodedBitStreamParser.Mode; Decoder; Version; Version.ECBlocks; DataBlock; BitMatrixParser; DecodedBitStreamParserTestCase]; [Version.ECB]. LCC (Lack of Component Cohesion) = 0.22
zxing,com.google.zxing.aztec,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.zxing.aztec.encoder; com.google.zxing.aztec.detector
zxing,com.google.zxing.aztec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.zxing.aztec; com.google.zxing.aztec.encoder; com.google.zxing.aztec
zxing,com.google.zxing.aztec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.zxing.aztec; com.google.zxing.aztec.detector; com.google.zxing.aztec
zxing,com.google.zxing.aztec.decoder,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.zxing.aztec.decoder; com.google.zxing.aztec.encoder; com.google.zxing.aztec.decoder
zxing,com.google.zxing.aztec.encoder,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.zxing.aztec.decoder
