project,smell,prompt_file,context_size,is_large
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_ForSdkCompiler.txt,7200,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_Injecting.txt,7199,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_Unavailable.txt,7199,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_android_AndroidClassLoadingStrategy_Wrapping.txt,7200,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AnnotationRemoval.txt,4705,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AnnotationRemoval_AnnotationRemovingClassVisitor.txt,4709,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AnnotationRemoval_AnnotationRemovingFieldVisitor.txt,4709,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AnnotationRemoval_AnnotationRemovingMethodVisitor.txt,4709,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AsmVisitorWrapper.txt,6287,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AsmVisitorWrapper_AbstractBase.txt,6289,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AsmVisitorWrapper_Compound.txt,6289,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AsmVisitorWrapper_DispatchingVisitor.txt,6290,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AsmVisitorWrapper_Entry.txt,6288,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AsmVisitorWrapper_FieldVisitorWrapper.txt,6290,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AsmVisitorWrapper_ForDeclaredFields.txt,6290,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AsmVisitorWrapper_ForDeclaredMethods.txt,6290,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AsmVisitorWrapper_MethodVisitorWrapper.txt,6290,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_AsmVisitorWrapper_NoOp.txt,6289,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_ClassVisitorFactory.txt,14653,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_ClassVisitorFactory_AttributeTranslator.txt,14655,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_ClassVisitorFactory_ConstantArrayTranslator.txt,14656,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_ClassVisitorFactory_ConstantDynamicTranslator.txt,14656,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_ClassVisitorFactory_ConstantTranslator.txt,14655,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_ClassVisitorFactory_CreateClassVisitorFactory.txt,14657,
