project,smell,prompt_file,context_size,is_large
jitwatch,Unstable Dependency,data/processed/prompts/unstable_dependency/jitwatch/org_adoptopenjdk_jitwatch_ui_viewer.txt,90715,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_aztec.txt,94103,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_aztec_decoder.txt,82682,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_aztec_detector.txt,92988,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_book.txt,53713,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_camera.txt,59626,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_camera_open.txt,12351,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_clipboard.txt,53005,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_history.txt,87940,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_result_supplement.txt,85742,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_share.txt,71531,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_client_android_wifi.txt,32322,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_datamatrix_decoder.txt,85385,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_datamatrix_detector.txt,58777,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_integration_android.txt,5139,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_maxicode.txt,57631,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_maxicode_decoder.txt,63987,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_multi_qrcode.txt,55440,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_multi_qrcode_detector.txt,76987,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_oned_rss.txt,71512,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_oned_rss_expanded_decoders.txt,79762,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_pdf417_decoder_ec.txt,92876,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_pdf417_detector.txt,89093,
zxing,Unstable Dependency,data/processed/prompts/unstable_dependency/zxing/com_google_zxing_web_generator_client.txt,15564,
