Project,Package,Class,Smell,Description,File
jsoup,org.jsoup.select,Evaluator.IsLastOfType,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.CssNthEvaluator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.IsNthChild,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.IsNthLastChild,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.IsNthOfType,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.IsNthLastOfType,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.IsFirstChild,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.IsRoot,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.IsOnlyChild,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.IsOnlyOfType,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.IsEmpty,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.IndexEvaluator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.ContainsText,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.ContainsWholeText,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.ContainsWholeOwnText,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.ContainsData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.ContainsOwnText,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.Matches,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.MatchesOwn,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.MatchesWholeText,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.MatchesWholeOwnText,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,Evaluator.MatchText,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/Evaluator.java
jsoup,org.jsoup.select,QueryParser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/QueryParser.java
jsoup,org.jsoup.select,CombiningEvaluator.And,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/CombiningEvaluator.java
jsoup,org.jsoup.select,CombiningEvaluator.Or,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/select/CombiningEvaluator.java
jsoup,org.jsoup.select,XpathTest.AlternateXpathFactory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/test/java/org/jsoup/select/XpathTest.java
jsoup,org.jsoup.parser,Tokeniser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/parser/Tokeniser.java
jsoup,org.jsoup.parser,Parser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/parser/Parser.java
jsoup,org.jsoup.parser,Parser,Law of Demeter violation,The tool detected the smell in this method (unescapeEntities) because the method voilates the law of Demeter. The long chain of method invocations is : org.jsoup.parser.Parser.htmlParser; org.jsoup.parser.Parser.unescape,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/parser/Parser.java
jsoup,org.jsoup.parser,StreamParser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/parser/StreamParser.java
jsoup,org.jsoup.parser,Token,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/parser/Token.java
jsoup,org.jsoup.parser,HtmlTreeBuilderState,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/parser/HtmlTreeBuilderState.java
jsoup,org.jsoup.parser,TreeBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/parser/TreeBuilder.java
jsoup,org.jsoup.parser,Tag,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: Known (16); Void (19); Block (21); InlineContainer (23); SelfClose (25); SeenSelfClose (27); PreserveWhitespace (29); RcData (31); Data (33); FormSubmittable (35); TextBoundary (37),/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/parser/Tag.java
jsoup,org.jsoup.parser,HtmlTreeBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/parser/HtmlTreeBuilder.java
jsoup,org.jsoup.parser,XmlTreeBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/main/java/org/jsoup/parser/XmlTreeBuilder.java
jsoup,org.jsoup.integration,TestServer.ProxySettings,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/test/java/org/jsoup/integration/TestServer.java
jsoup,org.jsoup.integration,TestServer.Origin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/test/java/org/jsoup/integration/TestServer.java
jsoup,org.jsoup.integration,TestServer.Endpoint,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/data/henrique/multiagent_refactoring/data/repositories/jsoup/src/test/java/org/jsoup/integration/TestServer.java
